

1559487586.639846900  Node Startup
1559487590.238316600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.238385400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.238398500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.271591800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.271689300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.271708900 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.305139400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.305177400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.305189900 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.338351300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.338554000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.338589100 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.371695800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.371854600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.371873800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.404925100 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.404996000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.405009400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
